problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP3_BC,DASCMOP_BC,4,1004,4626,1890,1889,1776,1776,90,1686,830,0.0449057150381499,0.0386096696303138,0.0406412776224648,0.949887387387387,0,1,0.0111111111111111,0.34994068801898,0.0432977461447212,0.230036048676975,0.230036048676975,1,1,99,971,951,951,0.365143871150346,0.36489163521148,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP3_BC,DASCMOP_BC,5,1005,4186,2217,2215,2105,2105,60,2045,894,0.0281833893499676,0.0229776044125951,0.0238994488269033,0.972446555819477,0,1,0.0333333333333333,0.279706601466993,0.0371638141809291,0.3033148329184,0.3033148329184,1,1,97,967,949,949,0.418073323850413,0.418073323850413,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP4_BC,DASCMOP_BC,1,1001,8060,3934,3929,3229,3229,4,3225,524,0.0178045092988006,0.0166373789496014,0.0161788813454513,0.999070919789409,0,1,0.25,0.354108527131783,0.00062015503875969,0.469812725939127,0.469812725939127,1,1,99,598,502,502,0.479535674040167,0.479535674040167,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP4_BC,DASCMOP_BC,2,1002,6006,3430,3418,3118,3118,10,3108,513,0.0517830088989609,0.0549839029424585,0.0538593239249823,0.997434252726107,0,1,0.2,0.591055341055341,0.00643500643500643,0.392864622114166,0.392864622114166,1,1,94,603,392,392,0.456548106723105,0.456548106723105,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP4_BC,DASCMOP_BC,3,1003,8541,4345,4342,3528,3528,6,3522,558,0.0164191512047008,0.0153693247417155,0.0153393647066373,0.998299319727891,0,1,0,0.402612152186258,0.00369108461101647,0.375123027000073,0.375123027000073,1,1,93,618,511,511,0.480568990154441,0.480568990154441,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP4_BC,DASCMOP_BC,4,1004,6857,4012,4001,3180,3180,6,3174,507,0.0207777528448358,0.0205686931330552,0.0206889267011879,0.998427672955975,0.166666666666667,1,0.166666666666667,0.491493383742911,0.00252047889098929,NaN,NaN,0,0,94,595,488,488,0.477853466639548,0.474759315011612,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP4_BC,DASCMOP_BC,5,1005,8833,5080,5068,3989,3989,38,3951,569,0.0595661244280347,0.0611422424047506,0.0586708484788643,0.991225871145651,0,1,0.0789473684210526,0.5125284738041,0.0118957226018729,0.363368934141897,0.363368934141897,1,1,96,642,557,557,0.412336996487275,0.412336996487275,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP5_BC,DASCMOP_BC,1,1001,8729,5505,5493,3757,3757,12,3745,582,0.0198625855565852,0.0201565616135761,0.0191738236929597,0.996805962203886,0,1,0,0.379439252336449,0.00160213618157543,0.45551648154793,0.45551648154793,1,1,100,634,520,520,0.480828505627126,0.480190604521806,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP5_BC,DASCMOP_BC,2,1002,8785,5329,5318,3719,3719,4,3715,560,0.0211145969561201,0.021749019224142,0.0211972204673884,0.998924442054316,0,1,0,0.456258411843876,0.000269179004037685,0.473376481797811,0.473376481797811,1,1,100,632,548,548,0.469435168693596,0.469435168693597,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP5_BC,DASCMOP_BC,3,1003,9317,6043,6028,3784,3784,33,3751,548,0.0710077313432532,0.0763488549566654,0.0689310935777856,0.994450317124736,0.0303030303030303,1,0.363636363636364,0.838176486270328,0.00613169821380965,0.319261300884736,0.319261300884736,1,1,99,625,539,539,0.370834662738633,0.370834662738633,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP5_BC,DASCMOP_BC,4,1004,9283,5993,5976,4147,4147,1,4146,584,0.0120687535743475,0.0121084193114497,0.0124329301365417,1,0,1,1,0.509406657018813,0,0.492660446935641,0.492660446935641,1,1,100,652,575,575,0.480284196879061,0.480284196879061,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP5_BC,DASCMOP_BC,5,1005,9925,4367,4361,3457,3457,5,3452,590,0.0330381077205346,0.0268449758123999,0.0265158236372758,0.998553659242117,0,1,0,0.417439165701043,0.00898030127462341,0.366845563524057,0.366845563524057,1,1,99,657,580,580,0.452257302272215,0.451943732134974,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP6_BC,DASCMOP_BC,1,1001,3321,1644,1640,1627,1627,1,1626,508,0.0206190107116817,0.0222148937175078,0.0222509823906,0.999385371850031,0,1,0,0.42619926199262,0.00676506765067651,0.502534947196312,0.502534947196312,1,1,100,617,489,489,0.484179511224528,0.484179511224528,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP6_BC,DASCMOP_BC,2,1002,2774,1493,1490,1486,1486,2,1484,520,0.0142337699861126,0.0137194708296782,0.0137300818942978,0.998654104979812,0.5,1,0,0.485175202156334,0.00134770889487871,0.485553141850592,0.485553141850592,1,1,100,665,585,585,0.479299269755361,0.476219737201739,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP6_BC,DASCMOP_BC,3,1003,3243,1373,1367,1366,1366,4,1362,485,0.0122952232294387,0.0117491209700021,0.0117189205980989,0.997071742313324,0,1,0,0.38913362701909,0.00513950073421439,0.502251270737436,0.502251270737436,1,1,100,598,487,487,0.471272402496865,0.471272402496865,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP6_BC,DASCMOP_BC,4,1004,2981,1512,1510,1506,1506,5,1501,495,0.0201407604660108,0.0204614143863347,0.0204894352177211,0.99734395750332,0,1,0.2,0.520319786808794,0.00133244503664224,0.497204157582932,0.497204157582932,1,1,100,646,550,550,0.472301327327563,0.472301327327563,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP6_BC,DASCMOP_BC,5,1005,3995,1721,1720,1708,1708,2,1706,555,0.0172739770774133,0.0152092647063433,0.0152710548875533,0.999414519906323,0,1,0.5,0.430832356389215,0.00527549824150059,0.493556688391677,0.493556688391677,1,1,100,675,523,523,0.476499117080847,0.476270851619024,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP7_BC,DASCMOP_BC,1,1001,14077,12221,11562,4648,4648,11,4637,630,0.0765481030645118,0.0788559971342265,0.0727680687407873,0.998278829604131,0.0909090909090909,1,0.272727272727273,0.60707353892603,0.00582273021350011,0.365475390088832,0.365475390088832,1,1,95,683,617,617,0.416099989539494,0.416087457020794,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP7_BC,DASCMOP_BC,2,1002,13071,10764,10249,4312,4312,3,4309,597,0.0369467301202727,0.038452062148472,0.03712990208076,0.999536178107607,0,1,0.333333333333333,0.470642840566257,0.0037131585054537,NaN,NaN,0,0,96,662,508,508,0.470027520493602,0.470027520493602,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP7_BC,DASCMOP_BC,3,1003,12402,10695,10150,4195,4195,6,4189,584,0.0209138356351834,0.0212263101402266,0.0196905495169799,0.999046483909416,0,1,0.333333333333333,0.405108617808546,0.00334208641680592,0.473578396475763,0.473578396475763,1,1,100,644,557,557,0.469797822378733,0.469797822378733,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP7_BC,DASCMOP_BC,4,1004,12836,10587,10225,4401,4401,6,4395,595,0.0206291999898384,0.0207094457929994,0.0211171216786865,0.999091115655533,0,1,0.333333333333333,0.364505119453925,0.00295790671217292,0.50795972755417,0.50795972755417,1,1,100,665,552,552,0.478145507265262,0.478145507265262,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP7_BC,DASCMOP_BC,5,1005,15191,12763,11930,4848,4848,13,4835,646,0.0170794232679815,0.016894659423644,0.0167680598702405,0.99773102310231,0,1,0.153846153846154,0.404963805584281,0.00289555325749741,0.487105310860701,0.487105310860701,1,1,100,712,651,651,0.47195690298524,0.471834206534806,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP8_BC,DASCMOP_BC,1,1001,14233,10534,10000,4251,4251,2,4249,637,0.0235158526069047,0.02288246237181,0.022439168759603,0.999529522465302,0,1,0,0.299364556366204,0.00329489291598023,0.476774657592746,0.476774657592746,1,1,100,686,605,605,0.466731496212255,0.466520278072356,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP8_BC,DASCMOP_BC,2,1002,16130,14003,12175,4705,4705,22,4683,629,0.0748235852416436,0.0771999435847056,0.0671106309214202,0.996811902231668,0,1,0.318181818181818,0.585735639547299,0.00405722827247491,0.35607210761276,0.35607210761276,1,1,99,686,618,618,0.417287971558292,0.417287971558292,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP8_BC,DASCMOP_BC,3,1003,11879,10160,9561,4089,4089,9,4080,575,0.0136796772228673,0.0136940278822321,0.0141140106169336,0.999021765712888,0,1,0.555555555555556,0.454656862745098,0.00196078431372549,0.490489180106944,0.490489180106944,1,1,100,641,559,559,0.483230415786751,0.482304029447696,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP8_BC,DASCMOP_BC,4,1004,11567,9667,9204,4440,4440,24,4416,605,0.0580068435358906,0.060289326177364,0.0545302448591147,0.996396396396396,0.166666666666667,1,0.333333333333333,0.573143115942029,0.0147192028985507,0.409325632813912,0.409325632813912,1,1,100,665,598,598,0.400616748890906,0.399029354519477,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP8_BC,DASCMOP_BC,5,1005,15390,13033,10935,4644,4644,14,4630,620,0.0677798753313392,0.0697634913488791,0.0573846020922869,0.998277347114556,0,1,0.428571428571429,0.466522678185745,0.00669546436285097,0.448733504048676,0.448733504048676,1,1,100,682,611,611,0.420159466482627,0.420142092248533,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP9_BC,DASCMOP_BC,1,1001,19058,16839,16813,7272,7272,35,7237,916,0.0637178348516202,0.0634204742047196,0.0636393943589679,0.996974697469747,0.0571428571428571,1,0.371428571428571,0.524388558795081,0.0157523835843582,0.17796153513698,0.17796153513698,1,1,99,893,888,888,0.208068289062159,0.205949189048679,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP9_BC,DASCMOP_BC,2,1002,18492,16366,16331,7173,7173,31,7142,919,0.0544363007274285,0.0543550285996499,0.053566568578643,0.997351178028719,0.0645161290322581,1,0.387096774193548,0.409129095491459,0.0112013441612994,0.290120839588015,0.290120839588015,1,1,95,917,912,912,0.343868601587571,0.343207862359481,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP9_BC,DASCMOP_BC,3,1003,18774,16338,16320,7192,7192,19,7173,918,0.0765885955028335,0.0762816209951203,0.0724960659122247,0.999026696329255,0.105263157894737,1,0.631578947368421,0.498396765648961,0.0111529346159208,0.284828367385174,0.284828367385174,1,1,96,918,912,912,0.320011544342983,0.319767200952136,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP9_BC,DASCMOP_BC,4,1004,18513,16393,16367,7109,7109,33,7076,917,0.0760991577920734,0.0758916157062937,0.0748004255769211,0.99718666479111,0,1,0.393939393939394,0.546919163369135,0.0134256642170718,0.240416423358486,0.240416423358486,1,1,95,917,912,912,0.264721066596011,0.263544329626999,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP9_BC,DASCMOP_BC,5,1005,16768,14747,14716,6541,6541,21,6520,919,0.0717168477608322,0.0713263694645688,0.0688476147285347,0.998012536309433,0.19047619047619,1,0.380952380952381,0.508282208588957,0.0173312883435583,0.26583225596484,0.26583225596484,1,1,98,923,917,917,0.316013256102072,0.314898592064718,0,0,0,beta,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,176.004066041667
DASCMOP1_BC,DASCMOP_BC,1,1001,26327,22301,19464,7046,7046,230,6816,912,0.0595473076468037,0.063031899590748,0.0380420937069707,0.968776610843031,0,1,0.0434782608695652,0.561473004694836,0.0583920187793427,0.228589171444092,0.16589589491631,1,1,99,899,865,865,0.253230559475322,0.24018244034781,0,0,0,beta,feasible_forward_off,"Refinement ablation: disable feasible forward exploit",beta,177.015360458333
DASCMOP1_BC,DASCMOP_BC,2,1002,24561,21317,19025,7006,7006,216,6790,919,0.0644470414992113,0.0678383332442609,0.0411563667277036,0.970882101056238,0,1,0.0555555555555556,0.67820324005891,0.0506627393225331,0.177227814046791,0.177227814046791,1,1,99,917,876,876,0.257552895437507,0.246624010355061,0,0,0,beta,feasible_forward_off,"Refinement ablation: disable feasible forward exploit",beta,177.015360458333
DASCMOP1_BC,DASCMOP_BC,3,1003,25602,21748,19324,7051,7051,165,6886,920,0.0663183554804594,0.0710934498760465,0.0411070686566083,0.978726421784144,0,1,0.0909090909090909,0.513069997095556,0.0615742085390648,0.167158364439802,0.167158364439802,1,1,98,920,888,888,0.253314277728428,0.235697545953888,0,0,0,beta,feasible_forward_off,"Refinement ablation: disable feasible forward exploit",beta,177.015360458333
